participant_id,age,trial,risky_reward,safe_reward,reward_diff,choice
36,42,4,18.4,8.55,9.85,1
36,42,5,22.79,5.68,17.11,0
36,42,6,18.51,10.4,8.11,0
36,42,7,24.76,10.33,14.43,1
36,42,8,20.0,11.69,8.3,0
36,42,9,24.93,10.58,14.35,0
37,66,0,21.98,5.6,16.38,0
37,66,1,29.36,6.75,22.61,0
37,66,2,18.01,10.36,7.66,1
37,66,3,21.76,12.56,9.19,0
37,66,4,24.97,12.95,12.02,0
37,66,5,18.52,8.99,9.53,1
37,66,6,29.89,14.27,15.62,0
37,66,7,27.63,10.21,17.42,0
37,66,8,16.34,12.55,3.78,1
37,66,9,27.39,12.82,14.57,0
38,44,0,15.54,8.03,7.51,1
38,44,1,20.4,5.88,14.53,0
38,44,2,23.31,8.06,15.25,1
38,44,3,21.71,11.01,10.7,1
38,44,4,28.79,9.97,18.82,0
38,44,5,27.77,7.09,20.69,0
38,44,6,16.75,13.17,3.57,1
38,44,7,28.17,13.68,14.49,0
38,44,8,26.85,8.05,18.8,1
38,44,9,21.04,6.74,14.31,0
39,76,0,20.19,14.76,5.44,0
39,76,1,27.34,6.33,21.01,0
39,76,2,28.84,9.87,18.97,0
39,76,3,26.47,6.75,19.72,0
39,76,4,20.98,6.46,14.52,0
39,76,5,16.02,5.26,10.76,0
39,76,6,29.45,10.5,18.95,0
39,76,7,21.49,8.12,13.37,0
39,76,8,21.59,6.06,15.54,0
39,76,9,18.24,11.2,7.04,0
40,80,0,17.28,5.61,11.67,0
40,80,1,21.9,5.58,16.32,0
40,80,2,15.87,11.95,3.92,0
40,80,3,18.59,6.42,12.17,0
40,80,4,19.55,6.01,13.54,0
40,80,5,15.93,10.09,5.84,0
40,80,6,27.21,11.15,16.06,0
40,80,7,24.36,10.27,14.09,0
40,80,8,16.96,13.87,3.09,0
40,80,9,17.92,8.68,9.24,0
41,59,0,27.41,12.34,15.08,0
41,59,1,15.17,9.16,6.0,0
41,59,2,15.29,7.6,7.69,0
41,59,3,17.06,10.35,6.7,1
41,59,4,15.18,7.41,7.77,0
41,59,5,27.02,14.6,12.43,0
41,59,6,16.65,10.48,6.17,0
41,59,7,27.67,5.98,21.68,0
41,59,8,17.25,8.25,9.0,0
41,59,9,22.14,8.76,13.38,0
42,45,0,21.89,12.85,9.04,0
42,45,1,29.33,12.87,16.46,1
42,45,2,25.32,9.38,15.95,1
42,45,3,27.61,5.38,22.23,0
42,45,4,21.92,11.37,10.55,0
42,45,5,28.43,11.37,17.06,0
42,45,6,16.0,10.18,5.82,1
42,45,7,26.06,10.12,15.94,0
42,45,8,15.63,5.85,9.78,0
42,45,9,16.08,5.71,10.37,1
43,77,0,29.35,12.38,16.97,0
43,77,1,19.45,8.5,10.95,0
43,77,2,24.92,6.85,18.07,0
43,77,3,16.48,11.6,4.87,0
43,77,4,18.98,5.21,13.77,0
43,77,5,29.52,7.95,21.56,0
43,77,6,24.37,8.82,15.55,0
43,77,7,16.82,11.15,5.67,0
43,77,8,24.66,10.3,14.36,1
43,77,9,29.53,12.99,16.54,0
44,33,0,29.7,11.02,18.68,1
44,33,1,26.22,13.12,13.1,1
44,33,2,16.92,8.38,8.54,0
44,33,3,18.37,8.72,9.65,1
44,33,4,21.59,11.13,10.46,0
44,33,5,18.61,6.22,12.4,1
44,33,6,28.3,11.46,16.85,1
44,33,7,27.24,13.61,13.63,0
44,33,8,28.78,7.52,21.26,1
44,33,9,21.91,13.42,8.49,0
45,32,0,26.65,11.56,15.09,1
45,32,1,23.18,14.85,8.33,0
45,32,2,15.65,6.65,9.0,1
45,32,3,25.89,13.18,12.71,1
45,32,4,22.59,13.41,9.18,0
45,32,5,23.13,10.9,12.23,1
45,32,6,19.46,10.65,8.81,1
45,32,7,28.1,11.36,16.74,1
45,32,8,17.4,9.62,7.79,1
45,32,9,18.7,12.26,6.44,0
46,79,0,16.49,9.01,7.47,0
46,79,1,18.06,10.55,7.51,0
46,79,2,24.24,6.88,17.36,0
46,79,3,26.76,10.54,16.21,1
46,79,4,26.41,5.35,21.06,0
46,79,5,18.04,14.58,3.46,0
46,79,6,19.9,6.49,13.42,0
46,79,7,28.15,14.96,13.19,0
46,79,8,21.73,12.22,9.51,0
46,79,9,23.9,8.92,14.98,0
47,79,0,25.43,5.03,20.4,0
47,79,1,20.33,12.94,7.39,0
47,79,2,23.82,9.81,14.01,0
47,79,3,15.97,10.8,5.17,0
47,79,4,23.41,11.03,12.38,0
47,79,5,27.07,7.7,19.38,0
47,79,6,22.47,5.77,16.7,0
47,79,7,20.01,12.85,7.16,0
47,79,8,26.83,10.17,16.66,0
47,79,9,17.21,8.28,8.93,0
48,64,0,16.33,7.21,9.12,0
48,64,1,26.03,14.98,11.05,0
48,64,2,24.64,9.21,15.43,0
48,64,3,26.78,6.18,20.6,0
48,64,4,27.6,8.84,18.76,0
48,64,5,23.82,6.84,16.97,0
48,64,6,20.02,5.26,14.76,1
48,64,7,27.48,7.73,19.74,0
48,64,8,19.48,14.41,5.07,0
48,64,9,21.44,13.73,7.72,0
49,79,0,17.79,13.03,4.77,0
49,79,1,22.24,6.33,15.91,0
49,79,2,25.92,9.96,15.95,0
49,79,3,25.94,12.66,13.29,0
49,79,4,24.15,6.35,17.8,0
49,79,5,24.85,14.57,10.29,0
49,79,6,15.86,7.82,8.03,0
49,79,7,18.7,14.06,4.64,0
49,79,8,19.08,12.59,6.49,0
49,79,9,26.65,5.65,21.0,0
50,68,0,15.5,5.63,9.88,0
50,68,1,17.09,10.32,6.76,0
50,68,2,20.21,14.0,6.21,1
50,68,3,24.96,14.63,10.32,0
50,68,4,29.05,5.52,23.53,0
50,68,5,18.9,12.31,6.59,0
50,68,6,18.85,11.54,7.31,0
50,68,7,23.48,9.64,13.84,0
50,68,8,24.13,8.5,15.63,1
50,68,9,17.27,7.25,10.02,0
51,61,0,27.76,10.61,17.15,0
51,61,1,16.72,13.6,3.12,0
51,61,2,16.02,12.08,3.94,0
51,61,3,16.23,9.58,6.64,0
51,61,4,17.49,14.46,3.03,0
51,61,5,25.04,9.62,15.41,0
51,61,6,24.76,10.45,14.31,1
51,61,7,22.69,13.06,9.62,0
51,61,8,15.78,12.86,2.92,1
51,61,9,18.88,6.65,12.23,0
52,72,0,26.35,10.19,16.16,0
52,72,1,28.17,13.8,14.37,0
52,72,2,18.58,9.51,9.07,0
52,72,3,26.58,5.27,21.31,1
52,72,4,21.96,14.09,7.87,0
52,72,5,22.47,6.05,16.41,0
52,72,6,27.33,8.8,18.53,0
52,72,7,29.47,7.04,22.43,0
52,72,8,19.31,12.93,6.38,0
52,72,9,24.52,12.98,11.54,0
53,69,0,28.73,10.33,18.4,1
53,69,1,25.44,12.93,12.51,0
53,69,2,27.86,14.06,13.8,0
53,69,3,29.75,6.41,23.35,0
53,69,4,17.76,13.94,3.82,0
53,69,5,17.28,9.4,7.88,0
53,69,6,16.25,13.82,2.43,0
53,69,7,22.58,14.67,7.91,0
53,69,8,29.76,11.68,18.08,0
53,69,9,17.49,13.82,3.67,0
54,74,0,17.43,5.13,12.31,0
54,74,1,22.91,12.19,10.72,0
54,74,2,16.19,12.31,3.88,0
54,74,3,27.87,13.19,14.68,0
54,74,4,25.65,8.14,17.51,0
54,74,5,27.32,9.59,17.73,0
54,74,6,22.41,13.28,9.13,0
54,74,7,17.61,12.12,5.49,0
54,74,8,16.51,7.4,9.11,0
54,74,9,20.22,9.5,10.72,0
55,20,0,24.77,11.21,13.56,1
55,20,1,27.62,9.71,17.91,0
55,20,2,24.51,6.26,18.25,1
55,20,3,19.88,11.86,8.01,1
55,20,4,17.62,13.56,4.07,1
55,20,5,27.56,7.79,19.76,1
55,20,6,25.41,10.13,15.29,1
55,20,7,18.19,5.33,12.86,1
55,20,8,24.8,14.38,10.41,1
55,20,9,26.49,12.88,13.61,1
56,54,0,18.9,14.07,4.83,0
56,54,1,23.41,6.11,17.3,0
56,54,2,21.91,13.65,8.26,0
56,54,3,20.71,14.77,5.94,1
56,54,4,21.34,5.42,15.92,0
56,54,5,28.77,7.8,20.97,0
56,54,6,19.38,14.11,5.28,0
56,54,7,27.07,5.18,21.89,0
56,54,8,25.9,8.05,17.85,0
56,54,9,19.22,13.73,5.5,1
57,68,0,25.56,10.41,15.15,1
57,68,1,18.63,5.12,13.5,0
57,68,2,19.52,10.98,8.54,0
57,68,3,19.5,12.43,7.07,1
57,68,4,28.54,13.52,15.02,0
57,68,5,23.9,13.92,9.98,0
57,68,6,16.18,7.4,8.79,0
57,68,7,15.52,10.83,4.69,0
57,68,8,27.84,10.21,17.62,1
57,68,9,27.47,10.99,16.48,1
58,24,0,16.41,14.1,2.31,0
58,24,1,27.44,13.79,13.65,1
58,24,2,22.76,9.3,13.46,1
58,24,3,21.52,12.74,8.78,1
58,24,4,28.39,9.43,18.95,1
58,24,5,24.47,10.92,13.55,1
58,24,6,18.56,10.12,8.44,1
58,24,7,20.77,9.88,10.89,1
58,24,8,29.26,11.01,18.25,1
58,24,9,22.59,11.34,11.25,1
59,38,0,18.82,8.62,10.2,1
59,38,1,15.68,6.4,9.28,1
59,38,2,29.57,8.31,21.26,1
59,38,3,17.94,11.11,6.83,1
59,38,4,18.1,10.17,7.94,1
59,38,5,15.11,7.19,7.92,1
59,38,6,16.62,8.39,8.23,0
59,38,7,23.58,10.13,13.45,1
59,38,8,28.98,8.97,20.01,1
59,38,9,24.26,6.14,18.12,1
60,26,0,22.61,13.74,8.87,1
60,26,1,25.53,14.93,10.61,1
60,26,2,19.12,8.95,10.18,1
60,26,3,21.17,14.08,7.09,1
60,26,4,24.12,8.09,16.02,1
60,26,5,29.33,13.21,16.11,1
60,26,6,24.55,5.51,19.03,1
60,26,7,15.89,11.04,4.85,1
60,26,8,16.72,8.84,7.88,1
60,26,9,20.54,6.21,14.33,1
61,56,0,26.27,5.71,20.56,1
61,56,1,20.32,14.42,5.9,0
61,56,2,25.18,8.62,16.56,0
61,56,3,15.15,11.36,3.79,0
61,56,4,24.19,13.74,10.45,0
61,56,5,16.81,14.02,2.78,1
61,56,6,23.01,6.42,16.59,1
61,56,7,21.33,7.95,13.38,0
61,56,8,23.66,5.44,18.22,1
61,56,9,23.38,8.43,14.95,0
62,35,0,24.78,13.46,11.33,1
62,35,1,21.45,11.73,9.72,1
62,35,2,19.59,12.89,6.7,1
62,35,3,26.98,13.22,13.75,0
62,35,4,28.75,9.31,19.44,1
62,35,5,23.73,8.71,15.02,1
62,35,6,25.58,11.88,13.7,1
62,35,7,17.5,9.31,8.2,1
62,35,8,28.35,8.46,19.89,1
62,35,9,15.38,11.46,3.92,0
63,21,0,20.11,5.72,14.39,1
63,21,1,19.67,11.77,7.9,1
63,21,2,20.47,7.18,13.29,0
63,21,3,21.81,11.88,9.93,1
63,21,4,22.28,5.28,17.01,1
63,21,5,29.46,8.84,20.62,1
63,21,6,15.46,8.88,6.58,1
63,21,7,15.35,12.56,2.79,1
63,21,8,19.34,14.0,5.34,1
63,21,9,29.34,8.14,21.2,1
64,42,0,24.04,13.27,10.78,0
64,42,1,19.33,14.61,4.71,1
64,42,2,20.78,8.4,12.38,1
64,42,3,17.31,10.54,6.78,1
64,42,4,26.43,13.34,13.09,1
64,42,5,19.53,7.59,11.94,1
64,42,6,15.86,8.42,7.44,1
64,42,7,29.5,10.58,18.92,1
64,42,8,23.71,6.39,17.32,1
64,42,9,24.39,9.89,14.5,1
65,77,0,29.91,13.8,16.1,0
65,77,1,23.54,11.21,12.33,0
65,77,2,20.93,5.39,15.53,0
65,77,3,23.15,7.28,15.87,0
65,77,4,28.64,12.22,16.42,0
65,77,5,28.05,6.31,21.74,0
65,77,6,16.87,12.94,3.93,0
65,77,7,28.16,14.44,13.72,0
65,77,8,21.94,14.81,7.13,0
65,77,9,27.95,10.89,17.07,0
66,31,0,19.29,7.03,12.25,1
66,31,1,20.8,10.11,10.69,1
66,31,2,23.66,13.66,10.0,0
66,31,3,21.11,13.28,7.84,0
66,31,4,23.6,14.56,9.04,1
66,31,5,16.64,13.54,3.1,1
66,31,6,27.7,13.93,13.77,1
66,31,7,28.25,9.48,18.77,1
66,31,8,24.4,14.26,10.14,1
66,31,9,22.15,11.88,10.28,1
67,67,0,25.39,6.34,19.04,0
67,67,1,20.38,13.04,7.34,0
67,67,2,18.16,14.57,3.59,1
67,67,3,29.97,11.77,18.2,0
67,67,4,19.42,5.14,14.28,0
67,67,5,27.51,12.4,15.11,1
67,67,6,26.3,12.69,13.61,0
67,67,7,26.49,13.46,13.03,0
67,67,8,16.33,9.88,6.45,1
67,67,9,21.11,9.07,12.04,1
68,75,0,20.23,6.11,14.12,0
68,75,1,29.22,5.72,23.49,0
68,75,2,22.84,8.0,14.84,1
68,75,3,22.51,12.95,9.56,0
68,75,4,15.75,5.73,10.02,0
68,75,5,19.43,7.32,12.11,0
68,75,6,27.05,14.29,12.76,0
68,75,7,28.59,8.21,20.38,0
68,75,8,18.39,11.4,6.99,0
68,75,9,24.05,8.58,15.47,0
69,26,0,16.84,13.89,2.96,1
69,26,1,21.74,10.86,10.88,1
69,26,2,16.08,11.83,4.25,1
69,26,3,25.71,13.23,12.48,1
69,26,4,23.29,10.2,13.09,1
69,26,5,26.63,7.71,18.92,1
